index,latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v)
0,32.102838,34.812263,0,0,0,0,0,0,0,0,0,47:51.8,47:51.8,16,0,0,0
1,32.102838,34.812263,0,0,0.22,0,0,0,0.22,0,104,47:51.9,47:51.9,16,0,0,0
2,32.102838,34.812263,0,0,0,0,0,0,0.22,0,208,47:52.0,47:52.0,16,0,0,0
3,32.102838,34.812263,0,0,0.32,0,0,0,0.32,0,311,47:52.1,47:52.1,16,0,0,0
4,32.102838,34.812263,0,0,0,0,0,0,0.32,0,415,47:52.2,47:52.2,16,0,0,0
5,32.102838,34.812263,0,0,0.32,0,0,0,0.32,0,519,47:52.3,47:52.3,16,0,0,0
6,32.102838,34.812263,0,0,0,0,0,0,0.32,0,623,47:52.4,47:52.4,16,0,0,0
7,32.102838,34.812263,0,0,0.22,0,0,0,0.32,0,732,47:52.5,47:52.5,16,0,0,0
8,32.102838,34.812263,0,0,0,0,0,0,0.32,0,834,47:52.6,47:52.6,16,0,0,0
9,32.102838,34.812263,0,0,0,0,0,0,0.32,0,1037,47:52.9,47:52.9,16,0,0,17.143
10,32.102838,34.812263,0,0,0.22,0,0,0,0.32,0,1151,47:53.0,47:53.0,16,0,0,17.143
11,32.102838,34.812263,0,0,0,0,0,0,0.32,0,1254,47:53.1,47:53.1,16,0,0,17.143
12,32.102838,34.812263,0,0,0.22,0,0,0,0.32,0,1357,47:53.2,47:53.2,16,0,0,17.143
13,32.102838,34.812263,0,0,0.22,0,0,0,0.32,0,1460,47:53.3,47:53.3,16,0,0,17.143
14,32.102838,34.812263,0,0,0.32,0,0,0,0.32,0,1563,47:53.4,47:53.4,16,0,0,17.143
15,32.102838,34.812263,0,0,0,0,0,0,0.32,0,1666,47:53.5,47:53.5,16,0,0,17.143
16,32.102838,34.812263,0,0,0.22,0,0,0,0.32,0,1773,47:53.6,47:53.6,16,0,0,17.143
17,32.102838,34.812263,0,0,0.22,0,0,0,0.32,0,1876,47:53.7,47:53.7,16,0,0,17.143
18,32.102838,34.812263,0,0,0.22,0,0,0,0.32,0,1979,47:53.8,47:53.8,16,0,0,17.143
19,32.102838,34.812263,0,0,0,0,0,0,0.32,0,2084,47:53.9,47:53.9,16,0,0,17.06
20,32.102838,34.812263,0,0,0.22,0,0,0,0.32,0,2189,47:54.0,47:54.0,16,0,0,17.06
21,32.102837,34.812263,0,0,0,0,0,0,0.32,0,2292,47:54.1,47:54.1,16,0,0,17.06
22,32.102838,34.812263,0,0,0.22,0,0,0,0.32,0,2395,47:54.2,47:54.2,16,0,0,17.06
23,32.102837,34.812263,0,0,0.22,0,0,0,0.32,0,2498,47:54.3,47:54.3,16,0,0,17.06
24,32.102837,34.812263,0,0,0.45,0,0,0,0.45,0,2601,47:54.4,47:54.4,16,0,0,17.06
25,32.102837,34.812263,0,0,0.89,0,0,0,0.89,0,2717,47:54.5,47:54.5,16,0,0,17.06
26,32.102837,34.812264,0,0,1.12,0,0,0,1.12,0,2821,47:54.6,47:54.6,16,0,0,17.06
27,32.102837,34.812264,0,0,1.34,0,0,0,1.34,0,2924,47:54.7,47:54.7,16,0,0,17.06
28,32.102837,34.812265,0,0,1.12,0,0,0,1.34,0,3026,47:54.8,47:54.8,16,0,0,17.06
29,32.102837,34.812265,0,0,1.12,0,0,0,1.34,0,3131,47:54.9,47:54.9,16,0,0,16.993
30,32.102836,34.812266,1,1,1.14,1,1,1,1.34,1,3241,47:55.1,47:55.1,16,0,0,16.993
31,32.102836,34.812267,1,1,1.12,1,1,1,1.34,1,3345,47:55.2,47:55.2,16,0,0,16.993
32,32.102835,34.812267,2,2,0.92,1,2,2,1.34,1,3449,47:55.3,47:55.3,16,0,0,16.993
33,32.102835,34.812267,2,2,0.92,1,2,2,1.34,1,3558,47:55.4,47:55.4,16,0,0,16.993
34,32.102835,34.812268,2,2,0.71,1,2,2,1.34,1,3661,47:55.5,47:55.5,16,0,0,16.993
35,32.102834,34.812268,3,3,0.5,2,3,3,1.34,2,3764,47:55.6,47:55.6,16,0,0,16.993
36,32.102834,34.812268,3,3,0.32,2,3,3,1.34,2,3869,47:55.7,47:55.7,16,0,0,16.993
37,32.102834,34.812268,3,3,0,2,3,3,1.34,2,3972,47:55.8,47:55.8,16,0,0,16.993
38,32.102834,34.812268,3,3,0.22,2,3,3,1.34,2,4074,47:55.9,47:55.9,16,0,0,16.993
39,32.102834,34.812268,3,3,0.22,2,3,3,1.34,2,4277,47:56.1,47:56.1,15,0,0,16.163
40,32.102834,34.812268,4,4,0.22,2,4,4,1.34,2,4384,47:56.2,47:56.2,15,0,0,16.163
41,32.102834,34.812267,4,4,0,1,4,4,1.34,2,4488,47:56.3,47:56.3,16,0,0,16.163
42,32.102834,34.812267,4,4,0.22,1,4,4,1.34,2,4590,47:56.4,47:56.4,16,0,0,16.163
43,32.102834,34.812266,5,5,0.32,1,5,5,1.34,2,4693,47:56.5,47:56.5,16,0,0,16.163
44,32.102835,34.812266,5,5,0.32,1,5,5,1.34,2,4997,47:56.8,47:56.8,16,0,0,16.163
45,32.102835,34.812265,5,5,0.63,1,5,5,1.34,2,5107,47:56.9,47:56.9,15,0,0,16.163
46,32.102835,34.812265,6,6,0.5,1,6,6,1.34,2,5210,47:57.0,47:57.0,15,0,0,16.163
47,32.102836,34.812263,6,6,0.5,0,6,6,1.34,2,5315,47:57.1,47:57.1,16,0,0,16.163
48,32.102836,34.812263,6,6,0.63,0,6,6,1.34,2,5421,47:57.2,47:57.2,16,0,0,16.163
49,32.102835,34.812262,6,6,0.63,1,6,6,1.34,2,5525,47:57.3,47:57.3,16,0,0,16.184
50,32.102835,34.812262,6,6,0.63,1,6,6,1.34,2,5631,47:57.4,47:57.4,16,0,0,16.184
