RelativeTime;CenterBattery.LastStudyCycle;CenterBattery.TotalStudyCycle;CenterBattery.ConnectionStatus;CenterBattery.Temperature;CenterBattery.ProductDate;CenterBattery.SerialNumber;CenterBattery.Current;CenterBattery.ErrorType;CenterBattery.LoopNum;CenterBattery.Life;CenterBattery.FullCapacity;CenterBattery.CurrentCapacity;CenterBattery.CurrentPV;CenterBattery.RelativeCapacity;Recover.BatterySerialNumber;Recover.RemoteSerialNumber;Recover.CameraSerialNumber;Recover.ActiveTime;Recover.PlaneName;Recover.FlyControllerSerialNumber;Recover.AppVersion;Recover.AppType;Recover.DroneType;Custom.UpdateTime;Custom.Distance;Custom.HSpeed;Custom.IsVideo;Custom.IsPhoto;Custom.Timestamp;Deform.DeformProtected;Deform.TripodStatus;Deform.DeformMode;Gimbal.YawAngle;Gimbal.RollAdjust;Gimbal.Mode;Gimbal.Yaw;Gimbal.Roll;Gimbal.Pitch;Home.Height;Home.Latitude;Home.Longitude;Home.GoHomeHeight;Home.ReachedLimitHeight;Home.ReachedLimitDistance;Home.IsMultipleModeOpen;Home.IsIOCEnabled;Home.IsHomeRecord;Home.IsDynamicHomePointEnable;Home.IsCompassCeleing;Home.IsBeginnerMode;Home.HasGoHome;Home.IOCMode;Home.GoHomeStatus;Home.GoHomeMode;Home.CompassCeleStatus;Home.AirCraftHeadDirection;Osd.FlycVersion;Osd.MotorRevolution;Osd.FlyTime;Osd.SwaveHeight;Osd.Battery;Osd.NonGpsCause;Osd.MotorFailCause;Osd.MotorFailed;Osd.FlightAction;Osd.GpsNum;Osd.CanIOCWork;Osd.IsVisionUsed;Osd.IsSwaveWork;Osd.IsMotorUp;Osd.IsImuPreheated;Osd.GroundOrSky;Osd.ModeChannel;Osd.GoHomeStatus;Osd.CompassError;Osd.FlycCommand;Osd.RcState;Osd.FlycState;Osd.Yaw;Osd.Roll;Osd.Pitch;Osd.ZSpeed;Osd.YSpeed;Osd.XSpeed;Osd.Height;Osd.Latitude;Osd.Longitude;Osd.VoltageWarning;Osd.NonGpsCauseRaw;Rc.Custom2Status;Rc.Custom1Status;Rc.ShutterStatus;Rc.RecordStatus;Rc.GyroValue;Rc.Rudder;Rc.Throttle;Rc.Elevator;Rc.Aileron;RcGps.GpsStatus;RcGps.GpsNum;RcGps.YSpeed;RcGps.XSpeed;RcGps.Longitude;RcGps.Latitude;SmartBattery.Battery;SmartBattery.Voltage;SmartBattery.GoHomeCountDown;SmartBattery.SmartGoHomeStatus;SmartBattery.BatteryStatus;SmartBattery.VolumeConsume;SmartBattery.SafeFlyRadius;SmartBattery.LandBattery;SmartBattery.GoHomeBattery;SmartBattery.LandTime;SmartBattery.GoHomeTime;SmartBattery.UsefulTime;AppTip.Text;AppWarn.Text
0;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:13:33 AM;0;0;0;0;1443690813890;;;;0;0;YawFollow;-1512;0;-31;;;;;;;;;;;;;;;;;;;6;2;00:03:20;0;92;None;None;False;RcAssistantTakeoff;17;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;-1558;-16;10;0;0;0;0;32.1037345336435;34.8133654489229;0;0;0;0;False;False;1024;1684;364;364;364;;;;;;;;;;;;;;;;;;;;
0.1;0;0;Normal;31.51;7/1/2015 12:00:00 AM;456;-1047;-2147483648;13;100;4385;3420;16.082;78;;;;;;;;;;10/1/2015 9:13:33 AM;0.01201657;0;0;0;1443690813990;True;FoldComplete;Protect;;;;;;;18.76645;32.1037345375738;34.8133654573692;30;False;False;False;False;True;False;False;False;False;CourseLock;0;1;0;1;6;2;00:03:20.1000000;0;92;None;None;False;RcAssistantTakeoff;17;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;-1558;-16;9;0;0;0;0;32.1037345932443;34.81336555525;0;0;;;;;;;;;;;;;;;;78;16.264;0;NonGohome;None;4.456819;0;10;16;0;23;0;;
0.334;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:13:34 AM;0.02552676;0;0;0;1443690814224;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;2;00:03:20.2000000;0;92;None;None;False;RcAssistantTakeoff;17;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;-1557;-16;9;0;0;0;0;32.10373457496;34.8133654137343;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.354;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:13:34 AM;0.0300922;0;0;0;1443690814244;;;;0;0;YawFollow;-1512;0;-30;;;;;;;;;;;;;;;;;;;6;2;00:03:20.3000000;0;92;None;None;False;RcAssistantTakeoff;17;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;-1558;-16;9;0;0;0;0;32.1037345553322;34.8133653712151;0;0;0;0;False;False;1024;1684;364;364;452;;;;;;;;;;;;;;;;;;;;
0.394;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:13:34 AM;0.0543537;0;0;0;1443690814284;;;;0;0;YawFollow;-1513;0;-31;;;;;;;;;;;;;;;;;;;6;2;00:03:20.4000000;0;48;None;None;False;RcAssistantTakeoff;17;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;-1558;-16;9;0;0;0;0;32.1037347026762;34.8133655612316;0;0;0;0;False;False;1024;1262;764;1024;1024;;;;;;;;;;;;;;;;;;;;
0.497;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:13:34 AM;0.05890638;0;0;0;1443690814387;;;;0;0;YawFollow;-1526;0;-31;;;;;;;;;;;;;;;;;;;6;2;00:03:20.5000000;0;48;None;None;False;RcAssistantTakeoff;17;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;-1557;-16;10;0;0;0;0;32.1037346832296;34.8133655187511;0;0;0;0;False;False;1024;1085;904;1024;1024;;;;;;;;;;;;;;;;;;;;
0.593;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:13:34 AM;0.06361127;0;0;0;1443690814483;;;;0;0;YawFollow;-1537;0;-30;;;;;;;;;;;;;;;;;;;6;2;00:03:20.6000000;0;48;None;None;False;RcAssistantTakeoff;17;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;-1558;-16;9;0;0;0;0;32.1037346616949;34.8133654758018;0;0;0;0;False;False;1024;1024;1024;1024;1024;;;;;;;;;;;;;;;;;;;;
0.694;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:13:34 AM;0.07355866;0;0;0;1443690814584;;;;0;0;YawFollow;-1543;0;-30;;;;;;;;;;;;;;;;;;;6;2;00:03:20.7000000;0;48;None;None;False;RcAssistantTakeoff;17;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;-1558;-16;9;0;0;0;0;32.1037347096722;34.8133655648522;0;0;0;0;False;False;1024;1024;1024;1022;1024;;;;;;;;;;;;;;;;;;;;
0.792;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:13:34 AM;0.08698317;0;0;0;1443690814682;;;;0;0;YawFollow;-1546;0;-30;;;;;;;;;;;;;;;;;;;6;2;00:03:20.8000000;0;48;None;None;False;RcAssistantTakeoff;17;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;-1558;-16;9;0;0;0;0;32.1037346901276;34.8133654244888;0;0;0;0;False;False;1024;1024;1002;1024;1024;;;;;;;;;;;;;;;;;;;;
0.9;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:13:34 AM;0.09148534;0;0;0;1443690814790;;;;0;0;YawFollow;-1548;0;-31;;;;;;;;;;;;;;;;;;;6;2;00:03:20.9000000;0;48;None;None;False;RcAssistantTakeoff;17;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;-1558;-16;9;0;0;0;0;32.1037346707057;34.8133653826012;0;0;0;0;False;False;1024;1024;985;1024;1024;;;;;;;;;;;;;;;;;;;;
