RelativeTime;CenterBattery.LastStudyCycle;CenterBattery.TotalStudyCycle;CenterBattery.ConnectionStatus;CenterBattery.Temperature;CenterBattery.ProductDate;CenterBattery.SerialNumber;CenterBattery.Current;CenterBattery.ErrorType;CenterBattery.LoopNum;CenterBattery.Life;CenterBattery.FullCapacity;CenterBattery.CurrentCapacity;CenterBattery.CurrentPV;CenterBattery.RelativeCapacity;Recover.BatterySerialNumber;Recover.RemoteSerialNumber;Recover.CameraSerialNumber;Recover.ActiveTime;Recover.PlaneName;Recover.FlyControllerSerialNumber;Recover.AppVersion;Recover.AppType;Recover.DroneType;Custom.UpdateTime;Custom.Distance;Custom.HSpeed;Custom.IsVideo;Custom.IsPhoto;Custom.Timestamp;Deform.DeformProtected;Deform.TripodStatus;Deform.DeformMode;Gimbal.YawAngle;Gimbal.RollAdjust;Gimbal.Mode;Gimbal.Yaw;Gimbal.Roll;Gimbal.Pitch;Home.Height;Home.Latitude;Home.Longitude;Home.GoHomeHeight;Home.ReachedLimitHeight;Home.ReachedLimitDistance;Home.IsMultipleModeOpen;Home.IsIOCEnabled;Home.IsHomeRecord;Home.IsDynamicHomePointEnable;Home.IsCompassCeleing;Home.IsBeginnerMode;Home.HasGoHome;Home.IOCMode;Home.GoHomeStatus;Home.GoHomeMode;Home.CompassCeleStatus;Home.AirCraftHeadDirection;Osd.FlycVersion;Osd.MotorRevolution;Osd.FlyTime;Osd.SwaveHeight;Osd.Battery;Osd.NonGpsCause;Osd.MotorFailCause;Osd.MotorFailed;Osd.FlightAction;Osd.GpsNum;Osd.CanIOCWork;Osd.IsVisionUsed;Osd.IsSwaveWork;Osd.IsMotorUp;Osd.IsImuPreheated;Osd.GroundOrSky;Osd.ModeChannel;Osd.GoHomeStatus;Osd.CompassError;Osd.FlycCommand;Osd.RcState;Osd.FlycState;Osd.Yaw;Osd.Roll;Osd.Pitch;Osd.ZSpeed;Osd.YSpeed;Osd.XSpeed;Osd.Height;Osd.Latitude;Osd.Longitude;Osd.VoltageWarning;Osd.NonGpsCauseRaw;Rc.Custom2Status;Rc.Custom1Status;Rc.ShutterStatus;Rc.RecordStatus;Rc.GyroValue;Rc.Rudder;Rc.Throttle;Rc.Elevator;Rc.Aileron;RcGps.GpsStatus;RcGps.GpsNum;RcGps.YSpeed;RcGps.XSpeed;RcGps.Longitude;RcGps.Latitude;SmartBattery.Battery;SmartBattery.Voltage;SmartBattery.GoHomeCountDown;SmartBattery.SmartGoHomeStatus;SmartBattery.BatteryStatus;SmartBattery.VolumeConsume;SmartBattery.SafeFlyRadius;SmartBattery.LandBattery;SmartBattery.GoHomeBattery;SmartBattery.LandTime;SmartBattery.GoHomeTime;SmartBattery.UsefulTime;AppTip.Text;AppWarn.Text
0;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:37 AM;0;0;0;0;1443691237960;;;;0;0;YawFollow;588;0;-30;;;;;;;;;;;;;;;;;;;6;3;00:09:48.7000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;543;-4;-82;0;0;0;0;32.1038534082892;34.8132448776447;0;0;0;0;False;False;1024;1684;364;364;364;;;;;;;;;;;;;;;;;;;;
0.072;0;0;Normal;32.91;7/1/2015 12:00:00 AM;456;-1154;-2147483648;13;100;4385;1490;15.03;34;;;;;;;;;;10/1/2015 9:20:38 AM;0.00942713;1;0;0;1443691238032;True;FoldComplete;Protect;;;;;;;16.37418;32.1038533746096;34.8132448785614;30;False;False;False;False;True;False;False;False;False;CourseLock;0;1;0;1;6;3;00:09:48.8000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;543;-4;-82;0;0;1;0;32.1038533242925;34.8132448930522;0;0;;;;;;;;;;;;;;;;34;15.213;0;NonGohome;None;4.885649;0;10;16;0;23;0;;
0.276;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:38 AM;0.01419976;0;0;0;1443691238236;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;00:09:48.9000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;542;-4;-82;0;0;0;0;32.1038533672953;34.8132448909541;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.285;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:38 AM;0.01896223;0;0;0;1443691238245;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;00:09:49;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;542;-4;-83;0;0;0;0;32.1038534101637;34.8132448878797;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.378;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:38 AM;0.02820189;0;0;0;1443691238338;;;;0;0;YawFollow;587;0;-30;;;;;;;;;;;;;;;;;;;6;3;00:09:49.1000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;542;-4;-83;0;0;0;0;32.1038533270428;34.8132448947076;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.505;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:38 AM;0.03280075;0;0;0;1443691238465;;;;0;0;YawFollow;587;0;-31;;;;;;;;;;;;;;;;;;;6;3;00:09:49.2000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;542;-4;-83;0;0;0;0;32.1038533683897;34.8132448909141;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.595;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:38 AM;0.03744119;0;0;0;1443691238555;;;;0;0;YawFollow;587;0;-30;;;;;;;;;;;;;;;;;;;6;3;00:09:49.3000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;542;-4;-83;0;0;0;0;32.1038534101332;34.8132448874457;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.666;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:38 AM;0.04220179;0;0;0;1443691238626;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;00:09:49.4000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;542;-4;-84;0;0;0;0;32.1038534529972;34.8132448846217;0;0;0;0;False;False;1024;1684;364;364;367;;;;;;;;;;;;;;;;;;;;
0.755;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:38 AM;0.05274413;0;0;0;1443691238715;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;00:09:49.5000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;542;-3;-84;0;0;0;0;32.1038533579384;34.813244882798;0;0;0;0;False;False;1024;1195;956;1024;1024;;;;;;;;;;;;;;;;;;;;
0.842;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:38 AM;0.05754122;0;0;0;1443691238802;;;;0;0;YawFollow;576;0;-30;;;;;;;;;;;;;;;;;;;6;3;00:09:49.6000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;542;-4;-84;0;0;0;0;32.1038534010528;34.8132448786255;0;0;0;0;False;False;1024;1024;1024;1024;1024;;;;;;;;;;;;;;;;;;;;
0.947;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:38 AM;0.06849834;0;0;0;1443691238907;;;;0;0;YawFollow;561;0;-31;;;;;;;;;;;;;;;;;;;6;3;00:09:49.7000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;542;-3;-84;0;0;0;0;32.1038534427659;34.8132447733889;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.05;0;0;Normal;32.91;7/1/2015 12:00:00 AM;456;-1118;-2147483648;13;100;4385;1490;15.033;34;;;;;;;;;;10/1/2015 9:20:39 AM;0.07873641;0;0;0;1443691239010;;;;0;0;YawFollow;556;0;-30;;;;;;;;;;;;;;;;;;;6;3;00:09:49.8000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;541;-3;-84;0;0;0;0;32.1038533508602;34.8132447630325;0;0;;;;;;;;;;;;;;;;34;15.197;0;NonGohome;None;4.885649;0;10;16;0;24;0;;
1.191;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:39 AM;0.08342114;0;0;0;1443691239151;;;;0;0;YawFollow;553;0;-31;;;;;;;;;;;;;;;;;;;6;3;00:09:49.9000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;542;-3;-84;0;0;0;0;32.1038533930774;34.8132447611616;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.353;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:39 AM;0.09288216;1;0;0;1443691239313;;;;0;0;YawFollow;550;0;-31;;;;;;;;;;;;;;;;;;;6;3;00:09:50.1000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;542;10;-111;0;0;1;0;32.1038533556801;34.8132448512565;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.441;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:39 AM;0.1019459;1;0;0;1443691239401;;;;0;0;YawFollow;548;1;-31;;;;;;;;;;;;;;;;;;;6;3;00:09:50.2000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;540;9;-132;0;0;1;0;32.1038534287656;34.8132448942543;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.542;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:39 AM;0.1109709;1;0;0;1443691239502;;;;0;0;YawFollow;548;1;-30;;;;;;;;;;;;;;;;;;;6;3;00:09:50.3000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;539;9;-152;0;0;1;0;32.1038535095341;34.8132449060282;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.642;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:39 AM;0.1204758;1;0;0;1443691239602;;;;0;0;YawFollow;547;0;-30;;;;;;;;;;;;;;;;;;;6;3;00:09:50.4000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;541;21;-181;0;0;1;0;32.1038534264519;34.8132449307978;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.742;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:39 AM;0.1430537;1.414214;0;0;1443691239702;;;;0;0;YawFollow;546;0;-31;;;;;;;;;;;;;;;;;;;6;3;00:09:50.5000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;538;39;-231;0;1;1;0;32.1038535688765;34.8132451017428;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.968;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:39 AM;0.1614738;2.828427;0;0;1443691239928;;;;0;0;YawFollow;544;0;-31;;;;;;;;;;;;;;;;;;;6;3;00:09:50.6000000;0;210;None;None;False;RcAssistantTakeoff;19;False;False;True;True;True;0;1;0;False;Calibration;0;GpsAtti;534;50;-306;0;2;2;0;32.1038536655949;34.8132452604081;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.101;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:40 AM;0.1809792;2;0;0;1443691240061;;;;0;0;YawFollow;544;0;-30;;;;;;;;;;;;;;;;;;;6;3;00:09:50.7000000;4;210;None;None;False;RcAssistantTakeoff;19;False;False;False;True;True;0;1;0;False;Calibration;0;AssistedTakeoff;538;29;-367;0;0;2;0;32.1038537742856;34.8132454228891;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Tips__RC Assisted Takeoff";
2.217;0;0;Normal;32.91;7/1/2015 12:00:00 AM;456;-1557;-2147483648;13;100;4385;1490;15.021;34;;;;;;;;;;10/1/2015 9:20:40 AM;0.2043961;1;0;0;1443691240177;True;FoldComplete;Normal;0;0;YawFollow;548;0;-30;;;;;;;;;;;;;;;;;;;6;3;00:09:50.8000000;4;210;None;None;False;RcAssistantTakeoff;19;False;False;False;True;True;0;1;0;False;Calibration;0;AssistedTakeoff;564;0;-357;-1;0;1;0;32.1038539854259;34.8132454274288;0;0;;;;;;;;;;;;;;;;34;15.002;0;NonGohome;None;4.885649;0;10;16;0;23;0;;
2.277;;;;;;;;;;;;;;;;;;;;;;;;10/1/2015 9:20:40 AM;0.216251;0;0;0;1443691240237;;;;0;0;YawFollow;556;0;-30;;;;;;;;;;;;;;;;;;;6;3;00:09:50.9000000;6;210;None;None;False;RcAssistantTakeoff;18;False;False;False;True;True;0;1;0;False;Calibration;0;AssistedTakeoff;574;10;-316;-1;0;0;0;32.1038540786935;34.8132454888174;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
