001406283590,1443690026128.811035,"[-70, -78, -70, -80, -73, -76, -77, -77]",7
3c46d81ced78,1443690026204.656006,"[-71, -77, -69, -80, -74, -77, -77, -77]",7
001406283590,1443690026231.322021,"[-53, -56, -62, -62, -61, -58, -64, -52]",7
3c46d81ced78,1443690026307.073975,"[-72, -76, -69, -78, -73, -74, -74, -76]",7
001406283590,1443690026345.145020,"[-72, -77, -71, -80, -74, -76, -76, -76]",7
001406383590,1443690026353.335938,"[-49, -46, -50, -49, -47, -47, -47, -47]",40
3c46d81ced78,1443690026409.542969,"[-57, -57, -56, -57, -60, -58, -58, -58]",7
001406283590,1443690026436.030029,"[-53, -56, -62, -62, -62, -58, -62, -52]",7
001406300000,1443690026488.752930,"[-48, -45, -45, -47, -49, -45, -45, -47]",40
3c46d81ced78,1443690026511.915039,"[-49, -49, -49, -49, -52, -50, -50, -49]",7
48437c918ccc,1443690026535.752930,"[-53, -56, -62, -61, -62, -58, -63, -52]",7
001406383590,1443690026558.123047,"[-49, -46, -50, -49, -47, -47, -47, -48]",40
00cd72ceaa8a,1443690026581.272949,"[-55, -56, -55, -57, -59, -57, -58, -57]",7
3c46d81ced78,1443690026614.290039,"[-67, -68, -70, -75, -67, -75, -73, -75]",7
001406283590,1443690026641.023926,"[-53, -56, -62, -62, -62, -58, -63, -52]",7
001406300000,1443690026693.586914,"[-48, -45, -45, -47, -49, -45, -45, -47]",40
c4438f5bbe0a,1443690026707.228027,"[-70, -78, -70, -82, -73, -76, -78, -77]",7
3c46d81ced78,1443690026716.760986,"[-70, -76, -69, -80, -73, -70, -75, -74]",7
c4438f5bbe0a,1443690026727.531982,"[-56, -59, -64, -65, -64, -61, -67, -55]",7
001406283590,1443690026743.426025,"[-70, -75, -68, -77, -73, -69, -74, -73]",7
001406383590,1443690026763.061035,"[-49, -46, -50, -49, -47, -47, -47, -47]",40
3c46d81ced78,1443690026819.144043,"[-71, -70, -65, -78, -74, -71, -74, -76]",7
001406283590,1443690026857.145996,"[-72, -77, -71, -82, -74, -76, -77, -77]",7
