RelativeTime;CenterBattery.LastStudyCycle;CenterBattery.TotalStudyCycle;CenterBattery.ConnectionStatus;CenterBattery.Temperature;CenterBattery.ProductDate;CenterBattery.SerialNumber;CenterBattery.Current;CenterBattery.ErrorType;CenterBattery.LoopNum;CenterBattery.Life;CenterBattery.FullCapacity;CenterBattery.CurrentCapacity;CenterBattery.CurrentPV;CenterBattery.RelativeCapacity;Recover.BatterySerialNumber;Recover.RemoteSerialNumber;Recover.CameraSerialNumber;Recover.ActiveTime;Recover.PlaneName;Recover.FlyControllerSerialNumber;Recover.AppVersion;Recover.AppType;Recover.DroneType;Custom.UpdateTime;Custom.Distance;Custom.HSpeed;Custom.IsVideo;Custom.IsPhoto;Custom.Timestamp;Deform.DeformProtected;Deform.TripodStatus;Deform.DeformMode;Gimbal.YawAngle;Gimbal.RollAdjust;Gimbal.Mode;Gimbal.Yaw;Gimbal.Roll;Gimbal.Pitch;Home.Height;Home.Latitude;Home.Longitude;Home.GoHomeHeight;Home.ReachedLimitHeight;Home.ReachedLimitDistance;Home.IsMultipleModeOpen;Home.IsIOCEnabled;Home.IsHomeRecord;Home.IsDynamicHomePointEnable;Home.IsCompassCeleing;Home.IsBeginnerMode;Home.HasGoHome;Home.IOCMode;Home.GoHomeStatus;Home.GoHomeMode;Home.CompassCeleStatus;Home.AirCraftHeadDirection;Osd.FlycVersion;Osd.MotorRevolution;Osd.FlyTime;Osd.SwaveHeight;Osd.Battery;Osd.NonGpsCause;Osd.MotorFailCause;Osd.MotorFailed;Osd.FlightAction;Osd.GpsNum;Osd.CanIOCWork;Osd.IsVisionUsed;Osd.IsSwaveWork;Osd.IsMotorUp;Osd.IsImuPreheated;Osd.GroundOrSky;Osd.ModeChannel;Osd.GoHomeStatus;Osd.CompassError;Osd.FlycCommand;Osd.RcState;Osd.FlycState;Osd.Yaw;Osd.Roll;Osd.Pitch;Osd.ZSpeed;Osd.YSpeed;Osd.XSpeed;Osd.Height;Osd.Latitude;Osd.Longitude;Osd.VoltageWarning;Osd.NonGpsCauseRaw;Rc.Custom2Status;Rc.Custom1Status;Rc.ShutterStatus;Rc.RecordStatus;Rc.GyroValue;Rc.Rudder;Rc.Throttle;Rc.Elevator;Rc.Aileron;RcGps.GpsStatus;RcGps.GpsNum;RcGps.YSpeed;RcGps.XSpeed;RcGps.Longitude;RcGps.Latitude;SmartBattery.Battery;SmartBattery.Voltage;SmartBattery.GoHomeCountDown;SmartBattery.SmartGoHomeStatus;SmartBattery.BatteryStatus;SmartBattery.VolumeConsume;SmartBattery.SafeFlyRadius;SmartBattery.LandBattery;SmartBattery.GoHomeBattery;SmartBattery.LandTime;SmartBattery.GoHomeTime;SmartBattery.UsefulTime;AppTip.Text;AppWarn.Text
0;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 8:59:58 AM;0;2;0;0;1445504398069;;;;0;0;YawFollow;845;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:00;0;41;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;0;0;GpsAtti;800;-24;47;0;0;-2;0;32.1031615518351;34.8122679444029;0;0;0;0;False;False;1024;1684;364;364;364;;;;;;;;;;;;;;;;;;;;
0.092;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 8:59:58 AM;0.01897236;2;0;0;1445504398161;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;00:00:00.1000000;0;41;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;0;0;GpsAtti;800;-25;47;0;0;-2;0;32.1031617222301;34.812267962552;0;0;;;;;;;;;;False;0;0;0;0;0;;;;;;;;;;;;;;
0.193;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 8:59:58 AM;0.0345871;2;0;0;1445504398262;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;00:00:00.2000000;0;41;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;0;0;GpsAtti;800;-25;47;0;0;-2;0;32.103161829873;34.8122678558931;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.391;0;0;Normal;30.31;7/1/2015 12:00:00 AM;456;-1011;-2147483648;14;100;4402;4137;16.879;94;;;;;;;;;;10/22/2015 8:59:58 AM;0.06042036;2;0;0;1445504398460;True;FoldComplete;Protect;;;;;;;18.55189;32.1031614969385;34.8122679404211;30;False;False;False;False;True;False;False;False;False;CourseLock;0;1;0;1;6;1;00:00:00.4000000;0;41;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;0;0;GpsAtti;800;-26;46;0;0;-2;0;32.1031620626101;34.8122678680193;0;0;0;0;False;False;1024;1684;364;594;447;;;;;;;94;17.023;0;NonGohome;None;0;0;10;16;0;24;0;;
0.994;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 8:59:59 AM;0.07507032;2;0;0;1445504399063;;;;0;0;YawFollow;825;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:00.9000000;0;41;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;0;0;GpsAtti;800;-27;46;0;0;-2;0;32.1031619319308;34.8122678452053;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.999;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 8:59:59 AM;0.1231096;2;0;0;1445504399068;;;;0;0;YawFollow;816;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:01;0;41;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;0;0;GpsAtti;800;-27;46;0;0;-2;0;32.1031623596916;34.8122677646522;0;0;0;0;False;False;1024;1048;1035;1024;1105;;;;;;;;;;;;;;;;;;;;
1.095;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 8:59:59 AM;0.1460387;2;0;0;1445504399164;;;;0;0;YawFollow;812;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:01.1000000;0;41;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;0;0;GpsAtti;800;-28;46;0;0;-2;0;32.1031621530327;34.8122677564701;0;0;0;0;False;False;1024;1024;1024;1024;1047;;;;;;;;;;;;;;;;;;;;
1.194;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 8:59:59 AM;0.1464026;2;0;0;1445504399263;;;;0;0;YawFollow;810;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:01.2000000;0;41;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;0;0;GpsAtti;800;-27;46;0;0;-2;0;32.1031621501553;34.8122677546169;0;0;0;0;False;False;1024;1024;1024;1024;1025;;;;;;;;;;;;;;;;;;;;
1.294;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 8:59:59 AM;0.1650331;2;0;0;1445504399363;;;;0;0;YawFollow;808;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:01.3000000;0;41;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;0;0;GpsAtti;800;-27;49;0;0;-2;0;32.1031623181298;34.8122677587138;0;0;0;0;False;False;1024;1024;1102;1024;1024;;;;;;;;;;;;;;;;;;;;
1.394;0;0;Normal;30.31;7/1/2015 12:00:00 AM;456;-1063;-2147483648;14;100;4402;4137;16.877;94;;;;;;;;;;10/22/2015 8:59:59 AM;0.1748398;2;0;0;1445504399463;;;;0;0;YawFollow;807;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:01.4000000;0;41;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;0;0;GpsAtti;800;-27;52;0;0;-2;0;32.1031624060948;34.8122677479914;0;0;0;0;False;False;1024;1024;1520;1024;1024;;;;;;;94;16.832;0;NonGohome;None;0;0;10;16;0;24;0;;
